| Proposal | Determinative voter count |
|     8211 |                         1 |
|     8215 |                         1 |
|     8221 |                         1 |
|     8228 |                         1 |
|     8251 |                         1 |
|     8254 |                         1 |
|     8260 |                         1 |
|     8262 |                         1 |
|     8263 |                         1 |
|     8265 |                         1 |
|     8267 |                         1 |
|     8268 |                         1 |
|     8290 |                         1 |
|     8298 |                         1 |
|     8328 |                         1 |
|     8342 |                         1 |
|     8343 |                         1 |
|     8352 |                         1 |
|     8386 |                         1 |
|     8425 |                         1 |
|     8426 |                         1 |
|     8432 |                         1 |
|     8433 |                         1 |
|     8442 |                         1 |
|     8445 |                         1 |
|     8450 |                         1 |
|     8454 |                         1 |
|     8455 |                         1 |
|     8460 |                         1 |
|     8462 |                         1 |
|     8468 |                         1 |
|     8532 |                         1 |
|     8561 |                         1 |
|     8573 |                         1 |
|     8578 |                         1 |
|     8582 |                         1 |
|     8587 |                         1 |
|     8591 |                         1 |
|     8813 |                         1 |
|     8840 |                         1 |
|     8919 |                         1 |
|     8925 |                         1 |
|     8941 |                         1 |
|     8961 |                         1 |
|     8583 |                         1 |
|     8585 |                         1 |
|     8909 |                         1 |
|     8327 |                         1 |
|     8873 |                         1 |
|     8910 |                         1 |
|     8939 |                         1 |
|     8297 |                         1 |
|     8302 |                         1 |
|     8318 |                         1 |
|     8319 |                         1 |
|     8320 |                         1 |
|     8481 |                         1 |
|     8513 |                         1 |
|     8535 |                         1 |
|     8541 |                         1 |
|     8545 |                         1 |
|     8571 |                         1 |
|     8572 |                         1 |
|     8633 |                         1 |
|     8514 |                         1 |
|     8247 |                         1 |
|     8291 |                         1 |
|     8304 |                         1 |
|     8313 |                         1 |
|     8337 |                         1 |
|     8584 |                         1 |
|     8820 |                         1 |
|     8950 |                         1 |
|     8838 |                         1 |
|     8887 |                         1 |
|     8888 |                         1 |
|     8891 |                         1 |
|     8923 |                         1 |
|     8933 |                         1 |
|     8423 |                         1 |
|     8594 |                         1 |
|     8907 |                         1 |
|     8438 |                         1 |
|     8464 |                         1 |
|     8471 |                         1 |
|     8487 |                         1 |
|     8283 |                         1 |
|     8340 |                         1 |
|     8288 |                         1 |
